respondent,influencers
2,"'Rachel Schneider','Virginia Eubanks','Robin Beers'"
3,"'Tomer Sharon','Tamara Hale','Sam Ladner','Cyd Harrell','Steve Portigal','Kim Goodwin','Indi Young','Ben Holliday','Hendrik Mueller'"
4,"'Tomer Sharon','Steve Portigal'"
5,"'Andy Warr','Susan Portalupi','Saswati Saha Mitra','Molly Stevens'"
6,"'Saikat Mandal','Andrea Sutton','Jonathan Knopf'"
7,"'Anselm Strauss','Barney Glaser','Whitney Quesenbery','Jakob Nielsen','John Whalen'"
8,"'David J. Bland','Alena Iouguina','Jeff Patton','Leah Buley','Jeff Gothelf','Andy Healy'"
9,"'James Gibson','George Lakoff','J Vincent Kim','Paul Hartley'"
10,"'Philip Rhodes','Cassandra Tramm','Meghan Rennie','Karey Steifer','Laura Schmidt'"
11,"'Julie Fischer','Lauren McKenzie'"
12,"'Simon Roberts','Hugh Dubberly','Ezio Manzini','Lucy Kimbell'"
13,"'Tony Ulwick','Tomer Sharon','Kelly Ling','Abraham Mengistu','Rick Starbuck','Joe Giaccotto'"
14,"'Steve Diller','Davis Masten','Ernst Toch','Louis Cheskin','Regis McKenna'"
15,"'Leisa Reichelt','Lou Rosenfeld','Steve Portigal','Aarron Walters','Peter Merholz','John Waterworth','David Whittle','Anne Stevens','Sam Yueng','Steph Marsh','Holly Cole','Andrew Maier','Ben Cubbon','Walt Buchan','Kate Towsey','Brigette Metzler','Tomomi Sasaki','Swetha Sethu-Jones','Christina Li'"
19,"'Naomi Henderson','Buster Benson','Annie Pettit','Don A. Dillman','Jolene D. Smyth','Leah Melani Christian','Ian Brace','Glenda Sims','Mary Elizabeth Sullivan','Ethan Marcotte'"
21,'Steve Portigal'
22,'Dana Chisnell'
24,"'Dave Snowden','Steve Portigal','Jeff Patton','Al Shalloway','Erika Hall'"
25,"'Mark McElhaw','Brigette Metzler','Peter Winstanley','Horst Rittel','John Cutler','Indi Young'"
26,"'Cory Kidd','Melissa Mazmanian','Gillian Hayes','Komal Patel'"
27,"'Indi Young','Tony Ulwick','Erika Hall','Cennydd Bowles','Chui Chui Tan','Sam Ladner','Jaime Levy','Jim Kalbach','David Travis','Ricardo Prada','Steve Portigal','Elizete Ignacio','Kelly Kiyumi Shigeno'"
28,"Trisha Greenhalgh','Sara Wachter-Boettcher','Ginny Redish','Dana Scott','Robert Groves','Mick Couper','Fred Conrad','Eleanor Singer','Ineke Stroop','Elizabeth Martin','Wojciech Jablonski'"
29,"'Robert Groves','Mick Couper','Fred Conrad','Eleanor Singer','Ineke Stroop','Elizabeth Martin','Wojciech Jablonski','Ginny Redish'"
30,"Scott Berkun','John Nash','Mario Van der Meulen','Colin Camerer'"
31,'Chris Gibbins'
32,"'Alexandra Fiorillo','Nick Bowmast','Nicole Ippoliti','Rebecca Hope','Stephanie Guinosso','Laiah Idelson'"
33,"'Indi Young','Steve Portigal','Dan Brown','Daniel Szuc','Jeff Pressing','Stephen Nachmanovich','Kenny Werner','Hal Crook','Chris Merz','Paul Berliner'"
35,"Christine Wodke','Indi Young','Jared Spool'"
36,"'Dan Szuc','Josephine Wong','Carl Smith','Zach Ingles','Stevyn Colgan'"
37,"'Iyad Rahwan','Stephen Anderson','Josh Clark'"
